model,accuracy,balanced_accuracy,macro_f1,weighted_f1
XGBoost,0.5828571428571429,0.5418731118098207,0.5332772472565235,0.5716380960592656
ExtraTrees,0.540952380952381,0.5244954267106166,0.49584293307995975,0.5159968834903718
RandomForest,0.5714285714285714,0.5207124846365352,0.4852992170084086,0.515571986782706
