feature,importance
planned_peak_interaction_unplanned_night,0.0019001892
cause_hour_interaction_tree_fall_2_0,0.0018892377
corridor_orr_east_1,0.0018769618
past_closure_count_corridor,0.00187364
planned_peak_interaction_unplanned_evening_peak,0.0018735819
past_duration_rate_very_long_location_grid,0.0018721644
cause_hour_interaction_tree_fall_12_0,0.0018672171
cause_hour_interaction_water_logging_10_0,0.0018537748
cause_hour_interaction_others_6_0,0.0018517553
lon_round_3,0.0018514941
past_duration_median_event_cause_corridor,0.0018459468
past_count_corridor,0.001845833
past_duration_rate_long_location_grid,0.0018451508
cause_hour_interaction_others_12_0,0.0018330772
past_duration_rate_long_corridor,0.001823459
past_count_zone,0.0018153422
start_month_name_march,0.0018127012
past_duration_q75_location_grid,0.0018101768
cause_heavy_vehicle_interaction_accident_heavy_0,0.001808887
past_duration_global_rate_very_long,0.001802561
cause_peak_interaction_tree_fall_off_peak,0.0017966412
cause_hour_interaction_construction_10_0,0.0017857798
corridor_orr_north_1,0.0017823395
corridor_peak_interaction_bellary_road_2_morning_peak,0.0017789244
event_cause_tree_fall,0.0017685749
cause_peak_interaction_tree_fall_night,0.0017654767
past_duration_q75_event_cause_corridor,0.0017568192
veh_type_ksrtc_bus,0.0017564128
text_length,0.0017503902
has_location_hint_word,0.0017464124
zone_cause_interaction_unknown_water_logging,0.0017377601
cause_hour_interaction_others_7_0,0.0017354076
past_count_police_station,0.0017336514
is_night,0.0017301897
cause_heavy_vehicle_interaction_vehicle_breakdown_heavy_0,0.0017292005
past_duration_median_corridor,0.0017262178
past_count_event_cause_corridor,0.0017201576
past_duration_global_rate_long,0.0017194543
past_duration_q75_police_station,0.0017119306
latitude,0.0017051206
past_duration_global_count,0.0017042939
zone_central_zone_2,0.0017004452
report_lag_minutes_clipped,0.0016921173
past_closure_count_location_grid,0.0016799442
past_duration_rate_short_corridor,0.0016760874
planned_peak_interaction_unplanned_off_peak,0.0016745378
has_non_ascii_text,0.0016684858
past_duration_rate_very_long_junction,0.0016678486
past_duration_rate_medium_location_grid,0.0016677936
event_cause_corridor_others_mysore_road,0.0016676836
