feature,gain,weight,cover
corridor_grouped_bannerghata road,0.0,0.0,0.0
corridor_grouped_bellary road 1,0.0,0.0,0.0
corridor_grouped_bellary road 2,0.0,0.0,0.0
corridor_grouped_cbd 1,0.0,0.0,0.0
corridor_grouped_cbd 2,0.0,0.0,0.0
corridor_grouped_hennur main road,0.0,0.0,0.0
corridor_grouped_hosur road,0.0,0.0,0.0
corridor_grouped_irr(thanisandra road),0.0,0.0,0.0
corridor_grouped_magadi road,0.0,0.0,0.0
corridor_grouped_mysore road,0.0,0.0,0.0
corridor_grouped_orr east 1,0.0,0.0,0.0
corridor_grouped_orr east 2,0.0,0.0,0.0
corridor_grouped_orr north 2,0.0,0.0,0.0
corridor_grouped_orr west 1,0.0,0.0,0.0
corridor_grouped_other_rare,0.0,0.0,0.0
corridor_grouped_tumkur road,0.0,0.0,0.0
corridor_grouped_varthur road,0.0,0.0,0.0
corridor_grouped_west of chord road,0.0,0.0,0.0
cargo_material_grouped_goods,0.0,0.0,0.0
cargo_material_grouped_goods carried,0.0,0.0,0.0
cargo_material_grouped_other_rare,0.0,0.0,0.0
reason_breakdown_grouped_other_rare,0.0,0.0,0.0
reason_breakdown_grouped_starting problem,0.0,0.0,0.0
police_station_grouped_adugodi,0.0,0.0,0.0
police_station_grouped_ashok nagar,0.0,0.0,0.0
police_station_grouped_banashankari,0.0,0.0,0.0
police_station_grouped_banaswadi,0.0,0.0,0.0
police_station_grouped_basavanagudi,0.0,0.0,0.0
police_station_grouped_bellandur,0.0,0.0,0.0
police_station_grouped_byatarayanapura,0.0,0.0,0.0
police_station_grouped_chamarajpet,0.0,0.0,0.0
police_station_grouped_chikkabanavara,0.0,0.0,0.0
police_station_grouped_chikkajala,0.0,0.0,0.0
police_station_grouped_city market,0.0,0.0,0.0
police_station_grouped_cubbon park,0.0,0.0,0.0
police_station_grouped_devanahalli airport,0.0,0.0,0.0
police_station_grouped_electronic city,0.0,0.0,0.0
police_station_grouped_hal old airport,0.0,0.0,0.0
police_station_grouped_halasur,0.0,0.0,0.0
police_station_grouped_halasuru gate,0.0,0.0,0.0
police_station_grouped_hennuru,0.0,0.0,0.0
police_station_grouped_high ground,0.0,0.0,0.0
police_station_grouped_hsr layout,0.0,0.0,0.0
police_station_grouped_hulimavu,0.0,0.0,0.0
police_station_grouped_j.p. nagar,0.0,0.0,0.0
police_station_grouped_jalahalli,0.0,0.0,0.0
police_station_grouped_jeevanbheemanagar,0.0,0.0,0.0
police_station_grouped_jnanabharathi,0.0,0.0,0.0
police_station_grouped_k.g. halli,0.0,0.0,0.0
police_station_grouped_k.r. pura,0.0,0.0,0.0
police_station_grouped_k.s. layout,0.0,0.0,0.0
police_station_grouped_kamakshipalya,0.0,0.0,0.0
police_station_grouped_kengeri,0.0,0.0,0.0
police_station_grouped_kodigehalli,0.0,0.0,0.0
police_station_grouped_madiwala,0.0,0.0,0.0
police_station_grouped_magadi road,0.0,0.0,0.0
police_station_grouped_mahadevapura,0.0,0.0,0.0
police_station_grouped_malleshwaram,0.0,0.0,0.0
police_station_grouped_mico layout,0.0,0.0,0.0
police_station_grouped_no police station,0.0,0.0,0.0
police_station_grouped_peenya,0.0,0.0,0.0
police_station_grouped_pulikeshinagar(f.town),0.0,0.0,0.0
police_station_grouped_r.t. nagar,0.0,0.0,0.0
police_station_grouped_rajajinagar,0.0,0.0,0.0
police_station_grouped_sadashivanagar,0.0,0.0,0.0
police_station_grouped_sheshadripuram,0.0,0.0,0.0
police_station_grouped_shivajinagar,0.0,0.0,0.0
police_station_grouped_thalagattapura,0.0,0.0,0.0
police_station_grouped_upparpet,0.0,0.0,0.0
police_station_grouped_v.v.puram (c.pet),0.0,0.0,0.0
police_station_grouped_whitefield,0.0,0.0,0.0
police_station_grouped_wilson garden,0.0,0.0,0.0
police_station_grouped_yelahanka,0.0,0.0,0.0
police_station_grouped_yeshwanthpura,0.0,0.0,0.0
zone_grouped_central zone 1,0.0,0.0,0.0
zone_grouped_central zone 2,0.0,0.0,0.0
zone_grouped_east zone 1,0.0,0.0,0.0
zone_grouped_east zone 2,0.0,0.0,0.0
zone_grouped_north zone 1,0.0,0.0,0.0
zone_grouped_north zone 2,0.0,0.0,0.0
zone_grouped_other_rare,0.0,0.0,0.0
zone_grouped_south zone 1,0.0,0.0,0.0
zone_grouped_south zone 2,0.0,0.0,0.0
zone_grouped_west zone 1,0.0,0.0,0.0
zone_grouped_west zone 2,0.0,0.0,0.0
junction_grouped_ayyappatemplejunc,0.0,0.0,0.0
junction_grouped_bagalurcrossjunc,0.0,0.0,0.0
junction_grouped_bel circle,0.0,0.0,0.0
junction_grouped_bommanahalli,0.0,0.0,0.0
junction_grouped_cmp gatejunc,0.0,0.0,0.0
junction_grouped_devasandra(k r puram),0.0,0.0,0.0
junction_grouped_gokuldasimagesjunc,0.0,0.0,0.0
junction_grouped_goruguntepalyajunc,0.0,0.0,0.0
junction_grouped_hebbalflyoverjunc,0.0,0.0,0.0
junction_grouped_hesaraghattajunction,0.0,0.0,0.0
junction_grouped_jalahallicross(sm circle),0.0,0.0,0.0
junction_grouped_k r circle,0.0,0.0,0.0
junction_grouped_khodayscircle(dv urscircle),0.0,0.0,0.0
junction_grouped_kimco junction,0.0,0.0,0.0
junction_grouped_koramangalawatertankjunc,0.0,0.0,0.0
junction_grouped_leprosyhospitaljunc,0.0,0.0,0.0
junction_grouped_mekhricircle,0.0,0.0,0.0
junction_grouped_nagavara-orr junction,0.0,0.0,0.0
junction_grouped_other_rare,0.0,0.0,0.0
junction_grouped_policecornerjunc,0.0,0.0,0.0
junction_grouped_rajeshwarijunc,0.0,0.0,0.0
junction_grouped_santhecircle,0.0,0.0,0.0
junction_grouped_sattelitebusstandjunc,0.0,0.0,0.0
junction_grouped_silkboardjunc,0.0,0.0,0.0
junction_grouped_srs peenya junc,0.0,0.0,0.0
junction_grouped_toll gate mysore road,0.0,0.0,0.0
junction_grouped_townhalljunction,0.0,0.0,0.0
"junction_grouped_veerannapalyajunction(bel,ho)",0.0,0.0,0.0
junction_grouped_yelhankacircle,0.0,0.0,0.0
junction_grouped_yeshwanthpuracircle,0.0,0.0,0.0
location_grid_grouped_12.919_77.589,0.0,0.0,0.0
location_grid_grouped_12.928_77.621,0.0,0.0,0.0
location_grid_grouped_12.931_77.687,0.0,0.0,0.0
location_grid_grouped_12.953_77.542,0.0,0.0,0.0
location_grid_grouped_12.957_77.552,0.0,0.0,0.0
location_grid_grouped_12.969_77.701,0.0,0.0,0.0
location_grid_grouped_12.97_77.701,0.0,0.0,0.0
location_grid_grouped_12.999_77.584,0.0,0.0,0.0
location_grid_grouped_13.014_77.584,0.0,0.0,0.0
location_grid_grouped_13.038_77.626,0.0,0.0,0.0
location_grid_grouped_13.045_77.583,0.0,0.0,0.0
location_grid_grouped_other_rare,0.0,0.0,0.0
truck_age_band_grouped_mid,0.0,0.0,0.0
truck_age_band_grouped_new,0.0,0.0,0.0
truck_age_band_grouped_old,0.0,0.0,0.0
truck_age_band_grouped_other_rare,0.0,0.0,0.0
truck_age_band_grouped_very_old,0.0,0.0,0.0
event_cause_corridor_grouped_accident_bellary road 1,0.0,0.0,0.0
event_cause_corridor_grouped_accident_bellary road 2,0.0,0.0,0.0
event_cause_corridor_grouped_congestion_hennur main road,0.0,0.0,0.0
event_cause_corridor_grouped_congestion_non-corridor,0.0,0.0,0.0
event_cause_corridor_grouped_congestion_orr north 2,0.0,0.0,0.0
event_cause_corridor_grouped_construction_airport new south road,0.0,0.0,0.0
event_cause_corridor_grouped_construction_non-corridor,0.0,0.0,0.0
event_cause_corridor_grouped_construction_orr east 2,0.0,0.0,0.0
event_cause_corridor_grouped_construction_orr north 1,0.0,0.0,0.0
event_cause_corridor_grouped_other_rare,0.0,0.0,0.0
event_cause_corridor_grouped_others_bellary road 1,0.0,0.0,0.0
event_cause_corridor_grouped_others_bellary road 2,0.0,0.0,0.0
event_cause_corridor_grouped_others_magadi road,0.0,0.0,0.0
event_cause_corridor_grouped_others_mysore road,0.0,0.0,0.0
event_cause_corridor_grouped_others_non-corridor,0.0,0.0,0.0
event_cause_corridor_grouped_others_orr north 1,0.0,0.0,0.0
event_cause_corridor_grouped_others_orr north 2,0.0,0.0,0.0
event_cause_corridor_grouped_others_tumkur road,0.0,0.0,0.0
event_cause_corridor_grouped_pot_holes_bannerghata road,0.0,0.0,0.0
event_cause_corridor_grouped_pot_holes_hosur road,0.0,0.0,0.0
event_cause_corridor_grouped_pot_holes_irr(thanisandra road),0.0,0.0,0.0
event_cause_corridor_grouped_pot_holes_old madras road,0.0,0.0,0.0
event_cause_corridor_grouped_pot_holes_orr east 1,0.0,0.0,0.0
event_cause_corridor_grouped_procession_non-corridor,0.0,0.0,0.0
event_cause_corridor_grouped_public_event_non-corridor,0.0,0.0,0.0
event_cause_corridor_grouped_road_conditions_non-corridor,0.0,0.0,0.0
event_cause_corridor_grouped_tree_fall_non-corridor,0.0,0.0,0.0
event_cause_corridor_grouped_vehicle_breakdown_airport new south road,0.0,0.0,0.0
event_cause_corridor_grouped_vehicle_breakdown_bannerghata road,0.0,0.0,0.0
