feature,importance
past_closure_rate_event_cause,0.019245194
location_grid_other_rare,0.014823508
is_breakdown_event,0.013582243
cause_heavy_vehicle_interaction_construction_heavy_0,0.011363168
has_jam_word,0.010716603
corridor_grouped_non_corridor,0.00979877
event_cause_corridor_construction_orr_east_2,0.00952394
peak_period_unknown,0.00909851
corridor_grouped_orr_east_2,0.0086998055
event_cause_grouped_water_logging,0.0086421445
police_station_grouped_jeevanbheemanagar,0.008415922
event_cause_grouped_pot_holes,0.008361674
event_cause_grouped_vehicle_breakdown,0.008095408
past_closure_rate_event_cause_corridor,0.00781201
event_cause_corridor_water_logging_bannerghata_road,0.0075150253
is_planned_event,0.007366393
has_vehicle_type,0.0071897474
corridor_peak_interaction_mysore_road_off_peak,0.0070558717
junction_grouped_kimco_junction,0.0067935446
zone_cause_interaction_central_zone_1_vehicle_breakdown,0.00605641
reporting_delay_minutes,0.006001576
corridor_peak_interaction_cbd_2_night,0.0059899776
start_day_name_monday,0.00595199
event_cause_corridor_water_logging_bellary_road_1,0.0057151495
event_cause_corridor_vehicle_breakdown_non_corridor,0.0056341034
corridor_peak_interaction_orr_east_1_morning_peak,0.005561795
zone_cause_interaction_west_zone_1_accident,0.005495845
start_day_name_sunday,0.0054165907
has_breakdown_word,0.0053792805
peak_period_morning_peak,0.005299201
zone_cause_interaction_east_zone_2_others,0.005259136
cause_peak_interaction_pot_holes_night,0.00522158
junction_grouped_veerannapalyajunction_bel_ho,0.0051874365
event_cause_corridor_tree_fall_non_corridor,0.0051353527
event_cause_corridor_congestion_non_corridor,0.0051267818
location_grid_12_956_77_546,0.0050189556
event_cause_corridor_vehicle_breakdown_orr_east_1,0.004981863
start_month_2023_11,0.00492726
police_station_grouped_kodigehalli,0.00483958
cause_heavy_vehicle_interaction_pot_holes_heavy_0,0.004758459
corridor_peak_interaction_orr_west_1_off_peak,0.0046851886
corridor_peak_interaction_non_corridor_morning_peak,0.004679125
is_accident_event,0.0045409002
police_station_grouped_upparpet,0.00451153
report_lag_minutes_clipped,0.0044977698
police_station_grouped_sheshadripuram,0.0044867033
junction_grouped_other_rare,0.0044549177
corridor_cause_interaction_non_corridor_accident,0.0044453316
location_grid_12_958_77_606,0.004420121
has_cargo_material,0.004403904
start_month_2024_03,0.004366449
police_station_grouped_other_rare,0.0043605394
past_count_corridor,0.004317182
veh_type_grouped_auto,0.004253345
past_count_event_cause,0.004242739
corridor_grouped_cbd_2,0.004214037
zone_grouped_central_zone_1,0.004189426
veh_type_grouped_lcv,0.004181361
has_water_word,0.004167954
event_cause_corridor_vehicle_breakdown_bellary_road_1,0.004153489
veh_type_grouped_others,0.0041441293
is_weather_or_visibility_event,0.004101518
report_lag_is_negative,0.0041004517
corridor_grouped_old_airport_road,0.00405225
zone_grouped_south_zone_1,0.00403822
report_lag_hours_clipped,0.0040098424
zone_cause_interaction_west_zone_1_vehicle_breakdown,0.0039848215
has_location_hint_word,0.003983176
start_day_name_unknown,0.003978199
is_night,0.003932179
police_station_grouped_jnanabharathi,0.003918634
text_length,0.0039110985
police_station_grouped_jalahalli,0.0038836845
description_char_length,0.0038799425
event_cause_grouped_others,0.0038684856
zone_grouped_east_zone_2,0.0038608455
event_cause_corridor_vehicle_breakdown_mysore_road,0.0038410602
zone_cause_interaction_north_zone_1_vehicle_breakdown,0.0038089338
zone_cause_interaction_west_zone_2_vehicle_breakdown,0.003790287
distance_to_city_center_km,0.0037845164
junction_grouped_unknown,0.0037319902
past_closure_rate_police_station,0.0037302533
latitude,0.0037232768
cause_peak_interaction_others_night,0.003721688
hour_sin,0.003693388
corridor_peak_interaction_old_madras_road_off_peak,0.003680345
corridor_peak_interaction_cbd_2_off_peak,0.0036783696
corridor_peak_interaction_mysore_road_morning_peak,0.0036580572
past_count_location_grid,0.0036553892
corridor_peak_interaction_tumkur_road_night,0.003610504
reason_breakdown_grouped_other_rare,0.0036072591
longitude,0.0035819134
police_station_grouped_electronic_city,0.0035486233
corridor_grouped_old_madras_road,0.0035444605
police_station_grouped_yelahanka,0.0035422558
cargo_material_grouped_other_rare,0.003540691
corridor_peak_interaction_bellary_road_1_night,0.0035406456
authenticated_grouped_no,0.0035238478
past_closure_rate_location_grid,0.0035062023
zone_cause_interaction_unknown_water_logging,0.0034417077
start_day_name_friday,0.0033761119
is_heavy_vehicle,0.003351665
event_cause_grouped_public_event,0.0033229068
zone_cause_interaction_unknown_others,0.003322811
corridor_grouped_bellary_road_1,0.0033130941
corridor_peak_interaction_orr_east_1_night,0.0032992514
police_station_grouped_shivajinagar,0.0032575782
has_event_word,0.0032562106
zone_cause_interaction_central_zone_2_vehicle_breakdown,0.003241233
cause_peak_interaction_water_logging_night,0.0032344512
past_count_police_station,0.0032066882
start_hour,0.0031859532
police_station_grouped_kengeri,0.0031738838
event_cause_grouped_road_conditions,0.0031539195
corridor_cause_interaction_magadi_road_vehicle_breakdown,0.0031467613
corridor_peak_interaction_tumkur_road_off_peak,0.0031187031
day_sin,0.0031107622
zone_cause_interaction_unknown_vehicle_breakdown,0.003106775
corridor_grouped_orr_north_1,0.0030918217
past_count_zone,0.0030691007
cause_heavy_vehicle_interaction_others_heavy_0,0.003065638
has_accident_word,0.0030654382
past_count_junction,0.0030613306
zone_grouped_north_zone_2,0.003053396
start_day_name_tuesday,0.0030364993
corridor_peak_interaction_mysore_road_night,0.003034888
event_cause_grouped_tree_fall,0.0030278729
has_kannada_text,0.0030115817
police_station_grouped_adugodi,0.0029933953
zone_cause_interaction_north_zone_2_vehicle_breakdown,0.0029739363
veh_type_grouped_heavy_vehicle,0.0029632687
police_station_grouped_sadashivanagar,0.002961546
corridor_cause_interaction_orr_north_1_construction,0.002959617
police_station_grouped_chikkabanavara,0.0029573864
zone_grouped_central_zone_2,0.0029519927
description_word_count,0.0029476616
start_weekofyear,0.002947446
past_closure_rate_zone,0.0029365285
start_day_name_thursday,0.0029320023
peak_period_off_peak,0.0029268556
past_closure_rate_junction,0.0029224316
start_day_name_saturday,0.0029173784
past_closure_rate_corridor,0.0028939573
cause_peak_interaction_accident_night,0.0028911785
event_type_grouped_planned,0.0028890972
veh_type_grouped_bmtc_bus,0.00288874
corridor_peak_interaction_magadi_road_off_peak,0.0028867887
junction_grouped_devasandra_k_r_puram,0.0028818243
corridor_grouped_tumkur_road,0.002857917
event_cause_grouped_congestion,0.0028271563
past_count_event_cause_corridor,0.0028245861
police_station_grouped_wilson_garden,0.0028243829
corridor_grouped_orr_west_1,0.0027964471
has_blocked_word,0.0027900662
police_station_grouped_hennuru,0.002764488
police_station_grouped_cubbon_park,0.0027593058
police_station_grouped_banaswadi,0.0027542938
has_emergency_word,0.0027377205
police_station_grouped_no_police_station,0.002725241
corridor_peak_interaction_bellary_road_2_night,0.002716462
corridor_cause_interaction_non_corridor_tree_fall,0.0027159373
is_road_condition_event,0.002710186
corridor_peak_interaction_non_corridor_off_peak,0.0026885006
truck_age_band_old,0.0026843946
police_station_grouped_k_g_halli,0.0026737603
has_non_ascii_text,0.00265998
start_dayofweek,0.002658313
police_station_grouped_hsr_layout,0.0026568
veh_type_grouped_ksrtc_bus,0.0026557136
start_day_name_wednesday,0.0026168562
police_station_grouped_byatarayanapura,0.0026000738
day_cos,0.0025984398
hour_cos,0.0025935445
corridor_grouped_magadi_road,0.0025703823
veh_type_grouped_private_bus,0.0025684547
zone_cause_interaction_east_zone_1_vehicle_breakdown,0.0025678705
zone_grouped_west_zone_1,0.0025514779
police_station_grouped_hal_old_airport,0.0025505736
corridor_peak_interaction_orr_north_2_off_peak,0.0025368414
cause_peak_interaction_road_conditions_off_peak,0.0025133113
cause_peak_interaction_vehicle_breakdown_off_peak,0.0025022628
location_grid_12_958_77_554,0.0025008598
corridor_cause_interaction_orr_north_1_vehicle_breakdown,0.0024963492
event_cause_corridor_other_rare,0.0024899535
event_cause_corridor_vehicle_breakdown_old_madras_road,0.0024815253
event_cause_corridor_water_logging_mysore_road,0.0024805996
police_station_grouped_jayanagara,0.00247697
veh_type_grouped_private_car,0.0024699408
location_grid_13_02_77_71,0.0024661846
cause_peak_interaction_vehicle_breakdown_morning_peak,0.0024577333
cause_heavy_vehicle_interaction_vehicle_breakdown_heavy_0,0.002454763
corridor_grouped_airport_new_south_road,0.0024453297
corridor_peak_interaction_old_airport_road_night,0.0024446126
corridor_peak_interaction_bellary_road_2_off_peak,0.002436482
zone_grouped_west_zone_2,0.002429623
police_station_grouped_ashok_nagar,0.0024006723
corridor_peak_interaction_magadi_road_morning_peak,0.0023949475
start_month_2024_02,0.0023849937
corridor_grouped_cbd_1,0.002351376
is_peak_hour,0.0023424882
has_construction_word,0.0023225101
zone_cause_interaction_other_rare,0.002314651
cause_peak_interaction_road_conditions_night,0.0023090162
corridor_peak_interaction_other_rare,0.0022720394
police_station_grouped_halasuru_gate,0.002267261
cause_peak_interaction_others_off_peak,0.0022399845
event_cause_corridor_vehicle_breakdown_tumkur_road,0.0022280843
zone_cause_interaction_unknown_road_conditions,0.0022007648
cause_peak_interaction_procession_off_peak,0.0021976985
event_cause_corridor_vehicle_breakdown_orr_north_1,0.0021799677
corridor_grouped_orr_north_2,0.002168711
police_station_grouped_rajajinagar,0.0021685227
event_cause_corridor_water_logging_non_corridor,0.002168106
cause_peak_interaction_construction_off_peak,0.0021457255
start_month_2023_12,0.0021321976
cause_peak_interaction_construction_morning_peak,0.0021223796
police_station_grouped_j_p_nagar,0.0021213167
police_station_grouped_hulimavu,0.0021211999
police_station_grouped_whitefield,0.0021203766
zone_grouped_east_zone_1,0.0021154527
location_grid_12_976_77_588,0.0021086421
corridor_peak_interaction_hosur_road_off_peak,0.002080973
corridor_peak_interaction_old_madras_road_night,0.0020802144
police_station_grouped_hebbala,0.0020789565
police_station_grouped_chamarajpet,0.002067142
police_station_grouped_peenya,0.002062882
corridor_grouped_hennur_main_road,0.0020533546
zone_cause_interaction_unknown_construction,0.0020503849
police_station_grouped_r_t_nagar,0.0020385915
cause_peak_interaction_other_rare,0.0020331317
event_cause_corridor_accident_non_corridor,0.0020307892
location_grid_13_04_77_518,0.0020236475
police_station_grouped_k_r_pura,0.002010672
corridor_peak_interaction_orr_north_1_off_peak,0.0020048164
zone_cause_interaction_south_zone_2_vehicle_breakdown,0.001995537
event_cause_corridor_vehicle_breakdown_orr_north_2,0.001989366
corridor_grouped_west_of_chord_road,0.0019765648
zone_cause_interaction_central_zone_1_others,0.001965463
police_station_grouped_malleshwaram,0.0019447269
cause_peak_interaction_tree_fall_off_peak,0.0019202749
police_station_grouped_yeshwanthpura,0.0019150459
zone_grouped_north_zone_1,0.0019042385
junction_grouped_k_r_circle,0.0018659546
is_bus,0.0018643459
cause_peak_interaction_construction_night,0.0018350744
event_cause_grouped_procession,0.0018111235
event_cause_corridor_construction_orr_north_1,0.001809001
corridor_grouped_orr_east_1,0.0018053108
zone_cause_interaction_central_zone_2_others,0.001804617
corridor_peak_interaction_airport_new_south_road_off_peak,0.0017986117
is_weekend,0.0017879723
corridor_cause_interaction_orr_north_2_vehicle_breakdown,0.0017817639
age_of_truck,0.0017758603
police_station_grouped_k_s_layout,0.0017621765
cause_peak_interaction_construction_evening_peak,0.0017455514
event_cause_corridor_road_conditions_non_corridor,0.0017450186
police_station_grouped_magadi_road,0.0017397496
cause_heavy_vehicle_interaction_vehicle_breakdown_heavy_1,0.001737788
police_station_grouped_banashankari,0.0017367128
corridor_cause_interaction_orr_north_1_others,0.0017347706
police_station_grouped_kamakshipalya,0.0017101197
zone_grouped_south_zone_2,0.0017098837
corridor_peak_interaction_bellary_road_1_morning_peak,0.0017014871
police_station_grouped_v_v_puram_c_pet,0.0016803
police_station_grouped_halasur,0.0016745568
zone_cause_interaction_unknown_procession,0.0016632829
zone_cause_interaction_unknown_congestion,0.0016463163
corridor_cause_interaction_non_corridor_public_event,0.0016321524
police_station_grouped_mico_layout,0.0016102998
police_station_grouped_madiwala,0.0016007294
event_cause_grouped_construction,0.0015930274
corridor_grouped_irr_thanisandra_road,0.0015593874
event_cause_corridor_vehicle_breakdown_cbd_2,0.0015402663
corridor_peak_interaction_non_corridor_night,0.0015251343
direction_grouped_other_rare,0.0015212792
event_cause_corridor_others_mysore_road,0.0015027233
police_station_grouped_mahadevapura,0.0014680006
event_cause_corridor_pot_holes_non_corridor,0.0014544869
is_public_or_vip_event,0.0014200133
event_cause_corridor_vehicle_breakdown_magadi_road,0.001419475
corridor_peak_interaction_hennur_main_road_night,0.0014128028
corridor_peak_interaction_west_of_chord_road_night,0.0014081857
cause_peak_interaction_congestion_off_peak,0.0013951607
corridor_grouped_bellary_road_2,0.0013667415
event_cause_corridor_others_non_corridor,0.0013372462
cause_heavy_vehicle_interaction_congestion_heavy_0,0.0013150605
cause_peak_interaction_vehicle_breakdown_night,0.0013072155
corridor_cause_interaction_hosur_road_vehicle_breakdown,0.0013042196
corridor_grouped_hosur_road,0.0013033062
veh_type_grouped_taxi,0.0012785827
corridor_peak_interaction_west_of_chord_road_off_peak,0.001228431
event_cause_corridor_vehicle_breakdown_bannerghata_road,0.0012231058
event_cause_corridor_construction_non_corridor,0.0011645037
corridor_peak_interaction_orr_east_1_off_peak,0.0011589986
police_station_grouped_pulikeshinagar_f_town,0.0011512805
event_cause_corridor_vehicle_breakdown_west_of_chord_road,0.0010608736
event_cause_corridor_procession_non_corridor,0.001045824
corridor_peak_interaction_orr_north_1_morning_peak,0.0010242234
event_cause_corridor_vehicle_breakdown_orr_west_1,0.0010220683
cause_peak_interaction_vehicle_breakdown_evening_peak,0.0010154197
event_cause_corridor_vehicle_breakdown_hennur_main_road,0.0009779877
corridor_cause_interaction_bannerghata_road_vehicle_breakdown,0.00097342464
corridor_cause_interaction_airport_new_south_road_construction,0.0009265261
corridor_peak_interaction_orr_north_2_night,0.0009039317
zone_cause_interaction_unknown_accident,0.00076900894
zone_cause_interaction_west_zone_1_others,0.0003275711
zone_grouped_unknown,0.00030019874
corridor_grouped_mysore_road,0.00027140017
location_grid_12_905_77_602,0.00026148325
corridor_cause_interaction_hennur_main_road_vehicle_breakdown,0.0
corridor_cause_interaction_hosur_road_pot_holes,0.0
corridor_cause_interaction_irr_thanisandra_road_pot_holes,0.0
corridor_cause_interaction_irr_thanisandra_road_vehicle_breakdown,0.0
corridor_peak_interaction_orr_east_2_night,0.0
corridor_peak_interaction_magadi_road_night,0.0
corridor_peak_interaction_irr_thanisandra_road_off_peak,0.0
corridor_peak_interaction_orr_east_2_morning_peak,0.0
corridor_cause_interaction_west_of_chord_road_vehicle_breakdown,0.0
corridor_cause_interaction_hennur_main_road_congestion,0.0
corridor_cause_interaction_bellary_road_1_accident,0.0
corridor_peak_interaction_old_madras_road_morning_peak,0.0
start_month_2024_04,0.0
zone_cause_interaction_west_zone_2_others,0.0
corridor_peak_interaction_old_airport_road_off_peak,0.0
corridor_peak_interaction_non_corridor_unknown,0.0
corridor_cause_interaction_airport_new_south_road_vehicle_breakdown,0.0
corridor_cause_interaction_bannerghata_road_pot_holes,0.0
corridor_cause_interaction_bannerghata_road_water_logging,0.0
corridor_cause_interaction_bellary_road_1_others,0.0
corridor_peak_interaction_non_corridor_evening_peak,0.0
corridor_cause_interaction_bellary_road_1_vehicle_breakdown,0.0
corridor_cause_interaction_bellary_road_1_water_logging,0.0
corridor_cause_interaction_bellary_road_2_accident,0.0
corridor_cause_interaction_bellary_road_2_others,0.0
corridor_peak_interaction_irr_thanisandra_road_night,0.0
corridor_cause_interaction_bellary_road_2_vehicle_breakdown,0.0
corridor_peak_interaction_varthur_road_off_peak,0.0
corridor_cause_interaction_cbd_2_vehicle_breakdown,0.0
corridor_cause_interaction_magadi_road_others,0.0
corridor_peak_interaction_orr_north_1_night,0.0
corridor_peak_interaction_hosur_road_night,0.0
corridor_peak_interaction_bannerghata_road_night,0.0
corridor_peak_interaction_airport_new_south_road_night,0.0
cause_heavy_vehicle_interaction_water_logging_heavy_0,0.0
corridor_cause_interaction_orr_east_1_vehicle_breakdown,0.0
corridor_cause_interaction_orr_east_1_water_logging,0.0
corridor_cause_interaction_orr_east_2_construction,0.0
corridor_cause_interaction_orr_east_2_vehicle_breakdown,0.0
cause_heavy_vehicle_interaction_vip_movement_heavy_0,0.0
cause_heavy_vehicle_interaction_road_conditions_heavy_0,0.0
corridor_peak_interaction_orr_west_1_morning_peak,0.0
corridor_cause_interaction_orr_north_2_congestion,0.0
corridor_cause_interaction_orr_north_2_others,0.0
cause_heavy_vehicle_interaction_public_event_heavy_0,0.0
corridor_cause_interaction_orr_west_1_vehicle_breakdown,0.0
corridor_cause_interaction_other_rare,0.0
cause_heavy_vehicle_interaction_procession_heavy_0,0.0
corridor_peak_interaction_orr_west_1_night,0.0
corridor_peak_interaction_tumkur_road_morning_peak,0.0
corridor_cause_interaction_tumkur_road_others,0.0
cause_heavy_vehicle_interaction_other_rare_heavy_0,0.0
corridor_cause_interaction_tumkur_road_vehicle_breakdown,0.0
cause_heavy_vehicle_interaction_accident_heavy_0,0.0
corridor_cause_interaction_orr_east_1_pot_holes,0.0
corridor_cause_interaction_old_madras_road_vehicle_breakdown,0.0
corridor_peak_interaction_orr_east_2_off_peak,0.0
corridor_cause_interaction_old_madras_road_pot_holes,0.0
corridor_cause_interaction_mysore_road_others,0.0
corridor_peak_interaction_hosur_road_morning_peak,0.0
corridor_cause_interaction_mysore_road_vehicle_breakdown,0.0
corridor_cause_interaction_mysore_road_water_logging,0.0
corridor_peak_interaction_hennur_main_road_off_peak,0.0
corridor_peak_interaction_varthur_road_night,0.0
corridor_cause_interaction_non_corridor_congestion,0.0
corridor_peak_interaction_bellary_road_2_morning_peak,0.0
corridor_cause_interaction_non_corridor_construction,0.0
corridor_peak_interaction_bellary_road_1_off_peak,0.0
corridor_cause_interaction_varthur_road_vehicle_breakdown,0.0
corridor_peak_interaction_orr_north_2_morning_peak,0.0
corridor_cause_interaction_non_corridor_others,0.0
corridor_cause_interaction_non_corridor_pot_holes,0.0
corridor_cause_interaction_non_corridor_procession,0.0
corridor_cause_interaction_non_corridor_road_conditions,0.0
start_month_2024_01,0.0
corridor_cause_interaction_non_corridor_vehicle_breakdown,0.0
corridor_peak_interaction_bannerghata_road_off_peak,0.0
corridor_cause_interaction_non_corridor_water_logging,0.0
corridor_cause_interaction_old_airport_road_vehicle_breakdown,0.0
cause_heavy_vehicle_interaction_tree_fall_heavy_0,0.0
event_cause_corridor_congestion_orr_north_2,0.0
zone_cause_interaction_unknown_tree_fall,0.0
junction_grouped_hesaraghattajunction,0.0
priority_grouped_low,0.0
priority_grouped_high,0.0
corridor_grouped_varthur_road,0.0
corridor_grouped_unknown,0.0
corridor_grouped_bannerghata_road,0.0
veh_type_grouped_unknown,0.0
veh_type_grouped_truck,0.0
direction_grouped_unknown,0.0
direction_grouped_south_west,0.0
direction_grouped_north_west,0.0
event_cause_grouped_vip_movement,0.0
event_cause_grouped_other_rare,0.0
event_cause_grouped_accident,0.0
