model,accuracy,balanced_accuracy,macro_f1,weighted_f1
RandomForest,0.6240963855421687,0.6071584189231248,0.5593139937967525,0.5937249160847001
XGBoost,0.5831325301204819,0.5743023135179998,0.546368027525971,0.5797749739113935
CatBoost,0.4987951807228916,0.6368399211536466,0.49998264848706775,0.5000077162689833
