feature,ensemble_importance,lgb_importance,xgb_importance
text_length,36093.95695683337,72029.75651925756,158.1573944091797
description_char_length,10569.718007025658,21092.353788251756,47.08222579956055
description_word_count,873.9962315598641,1664.5074472505876,83.48501586914062
report_lag_minutes_clipped,343.47727388702333,676.4564007632434,10.498147010803223
cause_peak_interaction_grouped_construction_morning_peak,338.9849984840839,662.9259419831214,15.044054985046387
past_closure_rate_event_cause,332.3786407429725,628.398280326277,36.35900115966797
past_closure_rate_police_station,214.17244275612757,416.3796574315056,11.965228080749512
past_closure_rate_event_cause_corridor,201.6449102908373,384.40057840943336,18.88924217224121
hour_sin,187.16414261609316,365.5293216854334,8.79896354675293
latitude,186.4581706020981,364.565712351352,8.350628852844238
past_closure_rate_zone,160.77872494608164,315.2464395314455,6.311010360717773
longitude,146.86732641485287,284.8147176032653,8.91993522644043
past_count_event_cause_corridor,134.98701721057296,264.449147336185,5.5248870849609375
cause_heavy_vehicle_interaction_grouped_construction_heavy_0,117.84004020690918,34.80160140991211,200.87847900390625
past_count_corridor,114.23396530374885,221.79110174626112,6.676828861236572
past_closure_rate_corridor,113.42186360899359,223.67140613682568,3.172321081161499
event_cause_grouped_vehicle_breakdown,110.85098266601562,137.69700622558594,84.00495910644531
has_jam_word,109.63524556159973,184.13591241836548,35.134578704833984
event_type_planned,104.43383587896824,149.2936628162861,59.57400894165039
police_station_grouped_r_t_nagar,95.96829795837402,191.93659591674805,0.0
has_accident_word,94.26089453697205,183.96342134475708,4.558367729187012
distance_to_city_center_km,81.04282282292843,152.58255192637444,9.503093719482422
start_weekofyear,80.42635457217693,157.98363623023033,2.869072914123535
past_closure_rate_location_grid,77.56025403738022,123.87914454936981,31.241363525390625
day_cos,73.32154411822557,142.53517998754978,4.107908248901367
event_cause_grouped_tree_fall,72.61519622802734,0.0,145.2303924560547
past_count_junction,70.37542325258255,136.30100405216217,4.44984245300293
junction_grouped_rajeshwarijunc,68.34333801269531,124.17090225219727,12.51577377319336
cause_peak_interaction_grouped_accident_off_peak,60.79245328903198,117.14629030227661,4.4386162757873535
past_count_event_cause,58.130390835693106,109.96606722055003,6.294714450836182
