iter	TotalF1	MultiClass
91	0.6582948508	0.6795804073
92	0.6584981962	0.6790217496
93	0.6590695948	0.6781716267
94	0.6585550082	0.6775682339
95	0.6592671881	0.6762023943
96	0.6614203121	0.6756471324
97	0.6633472948	0.6747071925
98	0.6630137435	0.6738796127
99	0.6641993282	0.6731673047
100	0.6648294314	0.6725674642
101	0.6639935685	0.6716842283
102	0.665259629	0.6705311746
103	0.6650038539	0.6696308089
104	0.6660655254	0.6691583622
105	0.6658134971	0.6679596542
106	0.6653089007	0.6670205888
107	0.6668722631	0.6663706218
108	0.6669724798	0.6655018271
109	0.6669724798	0.6650658762
110	0.6675108599	0.6643679913
111	0.6699179932	0.6637889431
112	0.6707492291	0.663323472
113	0.6694006811	0.6625189146
114	0.669788413	0.6619810937
115	0.6720348931	0.6616933714
116	0.6729880582	0.6608294728
117	0.6732484539	0.6602238196
118	0.6759885271	0.6596683202
119	0.6768394311	0.6591339947
120	0.6776269647	0.658645692
121	0.6772819316	0.6582404775
122	0.6772819316	0.657862776
123	0.6772819316	0.6573380308
124	0.6762949408	0.6564558733
125	0.6761515401	0.6560129978
126	0.6761515401	0.6557138853
127	0.6756231329	0.6552523775
128	0.6778055696	0.6546129064
129	0.6783179901	0.653966642
130	0.6765153514	0.6530354269
131	0.6765260294	0.6526244296
132	0.6776193562	0.6520239535
133	0.6789289315	0.6516618338
134	0.6794576094	0.6513865364
135	0.6787683044	0.6504846908
136	0.6821940442	0.6499444827
137	0.6820033477	0.6494873853
138	0.6816424052	0.6492556372
139	0.6838856619	0.6484858312
140	0.6833556127	0.647744934
141	0.6842871523	0.6472654436
142	0.6842871523	0.6469263461
143	0.6837365483	0.6464812692
144	0.6839616985	0.6456508858
145	0.6846812241	0.6450932373
146	0.6852121424	0.6449200273
147	0.6873667607	0.6440824928
148	0.6873538718	0.6434057216
149	0.6893323785	0.6431713647
150	0.6861028014	0.6424914038
151	0.6877261116	0.6422785361
152	0.6888419136	0.6418374669
153	0.6902636266	0.6412257319
154	0.6880326769	0.6404872333
155	0.6889350316	0.640012856
156	0.6879045513	0.639132274
157	0.6893371294	0.6386200146
158	0.6897382155	0.6382700702
159	0.6906402257	0.6380838739
160	0.6920468531	0.6377379876
161	0.6933229663	0.6372183884
162	0.691356828	0.636712898
163	0.6934857813	0.6361643724
164	0.6933291086	0.6356866868
165	0.6936978057	0.6354052233
166	0.6963668611	0.6349682857
167	0.6943944074	0.6341518565
168	0.693468007	0.6336302002
169	0.695100175	0.6333479665
170	0.695644491	0.6329294503
171	0.6967104071	0.6321500429
172	0.6951596327	0.6317465878
173	0.6954727701	0.6310708211
174	0.6963728221	0.630488589
175	0.6974741188	0.6298969821
176	0.6975421094	0.629510403
177	0.6996604275	0.6286286415
178	0.7006685215	0.6278385451
179	0.700840267	0.6276106516
180	0.6991088461	0.6271124978
181	0.7005329387	0.6262518741
182	0.7007285024	0.6256743457
183	0.7014691113	0.6253630887
184	0.7012965097	0.6248109547
185	0.701117823	0.6246349807
186	0.7030530726	0.6240091148
187	0.7051254459	0.623093657
188	0.7060415091	0.6225562263
189	0.7065603982	0.6223175395
190	0.7049881032	0.6219869917
191	0.7060027248	0.6215421531
192	0.7065674176	0.6210258621
193	0.7044578829	0.6206983605
194	0.7058650198	0.6201068339
195	0.7081698297	0.6196053944
196	0.7087023642	0.6189810079
197	0.7104862753	0.6183533914
198	0.7092558396	0.6180658002
199	0.7104818634	0.6174652953
200	0.7099722269	0.6166199493
201	0.7121105373	0.6157799578
202	0.7122530294	0.6152712581
203	0.7119056169	0.614604539
204	0.7117192319	0.614238367
205	0.7110246452	0.6139413355
206	0.7115179193	0.6134873806
207	0.711714363	0.61303303
208	0.713861047	0.6122644925
209	0.7145522991	0.6120322146
210	0.7140166012	0.6118479125
211	0.7154464107	0.6115920538
212	0.7144289949	0.6110472797
213	0.7140442661	0.6106615935
214	0.7159949184	0.6104514158
215	0.7147420758	0.609922486
216	0.7149441434	0.6094578942
217	0.7152893011	0.6090711648
218	0.7164949159	0.6088925458
219	0.7158052035	0.6083443056
220	0.7161693059	0.6076519613
221	0.715098421	0.6067611539
222	0.7156331618	0.6060064211
223	0.7165129067	0.605780852
224	0.7168562978	0.6055446574
225	0.7163003903	0.6049748914
226	0.7159571183	0.6047903334
227	0.7166618903	0.6040567358
228	0.717899675	0.6036624698
229	0.7166765499	0.6030214739
230	0.7168677326	0.6027511952
231	0.7171903358	0.6023814015
232	0.7171903358	0.6021461683
233	0.7183936861	0.6013908332
234	0.7178571406	0.6013077752
235	0.7198015063	0.6005385546
236	0.7192455258	0.6003479307
237	0.7202893318	0.6001081088
238	0.7209903605	0.5999170703
239	0.7209903605	0.5989619502
240	0.7215284926	0.5985715901
241	0.72118721	0.5979556044
242	0.7222429583	0.5975908197
243	0.721561318	0.5971878379
244	0.7227115266	0.5968839064
245	0.7227299713	0.5965828594
246	0.7240886097	0.5959100241
247	0.7243070501	0.5956706839
248	0.7246600109	0.5953469493
249	0.7265923299	0.5948007338
250	0.7271137008	0.5946352468
251	0.7271637176	0.5942346477
252	0.7269629597	0.5934711126
253	0.72817902	0.5929815418
254	0.7302855901	0.5922847758
255	0.7317698895	0.5914821221
256	0.7317523049	0.5909375726
257	0.7318671818	0.5902422267
258	0.7327797235	0.5897342304
259	0.7338621571	0.5891009731
