feature,importance
past_closure_rate_location_grid,0.0020461066
corridor_peak_interaction_grouped_west of chord road_off_peak,0.002010559
has_non_ascii_text,0.0019994797
zone_grouped_west zone 1,0.0019888927
start_month_2024-03,0.0019799366
police_station_grouped_upparpet,0.0019754174
reporting_delay_minutes,0.0019732323
event_cause_corridor_grouped_other_rare,0.0019709114
corridor_peak_interaction_grouped_other_rare,0.0019525115
past_closure_rate_police_station,0.0019420658
location_grid_grouped_other_rare,0.0019414047
zone_grouped_east zone 2,0.0019357818
event_cause_corridor_grouped_vehicle_breakdown_hosur road,0.0019312372
past_closure_rate_corridor,0.0019300162
has_water_word,0.0019230043
corridor_cause_interaction_grouped_other_rare,0.0019158487
corridor_grouped_orr east 2,0.0019140596
corridor_peak_interaction_grouped_non-corridor_night,0.0019091526
veh_type_grouped_taxi,0.0019015311
start_month_2024-02,0.0019004992
is_bus,0.0018954548
start_day_name_friday,0.0018754421
corridor_grouped_west of chord road,0.0018706521
corridor_peak_interaction_grouped_tumkur road_off_peak,0.0018672328
corridor_grouped_non-corridor,0.0018671823
corridor_grouped_bannerghata road,0.001860273
day_sin,0.001856732
is_peak_hour,0.001852816
police_station_grouped_banashankari,0.0018354076
past_count_location_grid,0.0018278913
police_station_grouped_hebbala,0.0018260495
police_station_grouped_kodigehalli,0.0018255351
has_event_word,0.0018107187
veh_type_grouped_heavy_vehicle,0.001809517
corridor_peak_interaction_grouped_orr east 1_night,0.0017871466
police_station_grouped_sheshadripuram,0.0017806318
police_station_grouped_adugodi,0.0017776957
zone_cause_interaction_grouped_west zone 1_vehicle_breakdown,0.0017647085
start_day_name_thursday,0.0017608796
cause_peak_interaction_grouped_water_logging_morning_peak,0.0017595266
police_station_grouped_yelahanka,0.0017429361
zone_cause_interaction_grouped_central zone 2_vehicle_breakdown,0.0017298145
zone_cause_interaction_grouped_unknown_accident,0.0017270201
junction_grouped_mekhricircle,0.0017101289
corridor_peak_interaction_grouped_bellary road 1_off_peak,0.0017056116
veh_type_grouped_others,0.0016932897
cause_peak_interaction_grouped_tree_fall_morning_peak,0.0016889687
start_month_2023-11,0.0016864545
corridor_peak_interaction_grouped_bellary road 1_night,0.0016796665
corridor_grouped_orr east 1,0.0016775081
event_type_unplanned,0.0016742353
event_cause_corridor_grouped_vehicle_breakdown_cbd 2,0.001667901
police_station_grouped_vijayanagara,0.0016591537
cause_peak_interaction_grouped_vehicle_breakdown_morning_peak,0.0016505597
day_cos,0.0016461203
corridor_peak_interaction_grouped_non-corridor_morning_peak,0.001640197
zone_cause_interaction_grouped_unknown_vehicle_breakdown,0.0016391117
police_station_grouped_bellandur,0.0016222401
zone_cause_interaction_grouped_west zone 2_others,0.0016205175
peak_period_off_peak,0.0016147752
cause_peak_interaction_grouped_vehicle_breakdown_night,0.0016130911
event_cause_corridor_grouped_construction_non-corridor,0.0016097088
zone_cause_interaction_grouped_east zone 1_vehicle_breakdown,0.0016064469
start_day_name_wednesday,0.0016044861
veh_type_grouped_private_bus,0.001604118
zone_cause_interaction_grouped_north zone 2_vehicle_breakdown,0.001591718
corridor_peak_interaction_grouped_bellary road 1_morning_peak,0.0015887171
zone_cause_interaction_grouped_south zone 2_vehicle_breakdown,0.0015855245
corridor_peak_interaction_grouped_tumkur road_night,0.0015780566
end_point_missing_or_zero,0.0015686185
corridor_cause_interaction_grouped_non-corridor_accident,0.0015614255
start_month_2023-12,0.0015598519
cause_peak_interaction_grouped_procession_morning_peak,0.0015498549
corridor_peak_interaction_grouped_tumkur road_morning_peak,0.00154315
zone_cause_interaction_grouped_north zone 1_construction,0.0015421065
cause_peak_interaction_grouped_vehicle_breakdown_off_peak,0.0015414734
event_cause_corridor_grouped_vehicle_breakdown_orr east 1,0.0015245203
is_truck,0.0015058857
zone_cause_interaction_grouped_unknown_construction,0.001497748
police_station_grouped_jalahalli,0.001495392
junction_grouped_yelhankacircle,0.0014878523
event_cause_corridor_grouped_vehicle_breakdown_varthur road,0.0014790845
police_station_grouped_malleshwaram,0.0014756892
corridor_peak_interaction_grouped_orr north 2_night,0.0014514717
event_cause_corridor_grouped_vehicle_breakdown_west of chord road,0.0014303913
cause_peak_interaction_grouped_construction_evening_peak,0.00142064
corridor_peak_interaction_grouped_magadi road_morning_peak,0.0014147328
corridor_grouped_magadi road,0.0014146328
corridor_cause_interaction_grouped_tumkur road_vehicle_breakdown,0.0013996048
police_station_grouped_banaswadi,0.0013991703
junction_grouped_toll gate mysore road,0.0013747631
zone_cause_interaction_grouped_central zone 2_others,0.0013328923
zone_grouped_south zone 1,0.0013306327
corridor_peak_interaction_grouped_orr north 2_morning_peak,0.0013212675
corridor_peak_interaction_grouped_orr west 1_off_peak,0.0013193827
corridor_cause_interaction_grouped_varthur road_vehicle_breakdown,0.0013180568
corridor_peak_interaction_grouped_old airport road_morning_peak,0.0013067799
zone_grouped_north zone 2,0.0012978683
police_station_grouped_byatarayanapura,0.0012965637
zone_cause_interaction_grouped_west zone 2_vehicle_breakdown,0.0012875469
zone_grouped_west zone 2,0.0012847406
corridor_peak_interaction_grouped_mysore road_night,0.0012787883
corridor_peak_interaction_grouped_cbd 2_night,0.0012741518
cause_heavy_vehicle_interaction_grouped_road_conditions_heavy_0,0.0012680904
cause_peak_interaction_grouped_accident_morning_peak,0.0012535296
cause_peak_interaction_grouped_tree_fall_off_peak,0.0012438237
zone_cause_interaction_grouped_east zone 2_others,0.001236323
zone_grouped_east zone 1,0.0012279105
event_cause_corridor_grouped_road_conditions_non-corridor,0.0012147318
police_station_grouped_jeevanbheemanagar,0.0012087828
corridor_peak_interaction_grouped_orr west 1_morning_peak,0.0011931998
police_station_grouped_jnanabharathi,0.0011882253
event_cause_corridor_grouped_vehicle_breakdown_non-corridor,0.001173362
corridor_peak_interaction_grouped_orr east 1_off_peak,0.0011674952
start_day_name_saturday,0.0011633585
corridor_cause_interaction_grouped_non-corridor_construction,0.0011600051
corridor_peak_interaction_grouped_magadi road_night,0.001158157
event_cause_corridor_grouped_vehicle_breakdown_orr north 2,0.0011510662
junction_grouped_sattelitebusstandjunc,0.001140763
corridor_grouped_old madras road,0.0011371458
police_station_grouped_chikkajala,0.0011358813
corridor_cause_interaction_grouped_non-corridor_others,0.001133267
zone_grouped_other_rare,0.0011216424
police_station_grouped_wilson garden,0.0011201486
event_cause_grouped_pot_holes,0.0011137539
